               Original Sentence             	                   List of POS      	       Misclassified Entity     
                                                                                                                         	Garfield/NNP	 
                                                                                                                         	into/IN	 
                                                                                                                         	murder/NN	 
                                                                                                                         	in/IN	 
[[ Mel Blanc | /m/0c5vh ]] always voiced [[ Porky Pig | /m/0dngm ]] , right	Mel/NNP	 
                                                                            	Blanc/NNP	 
                                                                            	always/RB	 
                                                                            	voiced/VBD	 
                                                                            	Porky/NNP	 
                                                                            	Pig/NNP	 
                                                                            	,/,	 
                                                                            	right/NN	 
                                                                            	Mel/NNP	 
                                                                            	Blanc/NNP	 
                                                                            	always/RB	 
                                                                            	voiced/VBD	 
                                                                            	Porky/NNP	 
                                                                            	Pig/NNP	 
                                                                            	,/,	 
                                                                            	right/NN	 
hat die Kugel, star [[ Kevin Durand | /m/08g2t9 ]] spielt den [[ Blob | /m/027ykr ]] i	hat/DT	 
                                                                                       	die/NN	 
                                                                                       	Kugel/NNP	 
                                                                                       	,/,	 
                                                                                       	star/NN	 
                                                                                       	Kevin/NNP	 
                                                                                       	Durand/NNP	 
                                                                                       	spielt/VBD	 
                                                                                       	den/JJ	 
                                                                                       	Blob/NNP	 
                                                                                       	i/NN	 
(in which [[ Schreiber | /m/0prfz ]] plays the ambiguous [[ Cotton Weary | /m/09gtnc0 ]] ).	in/IN	 
                                                                                            	which/WDT	 
                                                                                            	Schreiber/NNP	 
                                                                                            	plays/VBZ	 
                                                                                            	the/DT	 
                                                                                            	ambiguous/JJ	 
                                                                                            	Cotton/NNP	 
                                                                                            	Weary/NNP	 
                                                                                            	./.	 
[[ Elizabeth Berkley | /m/01j6fq ]]  plays impetuous [[ Nomi Malone | /m/098klm0 ]] , a young girl who heads into [[ Las Vegas | /m/0cv3w ]]	Elizabeth/NNP	 
                                                                                                                                             	Berkley/NNP	 
                                                                                                                                             	plays/VBZ	 
                                                                                                                                             	impetuous/JJ	 
                                                                                                                                             	Nomi/NNP	 
                                                                                                                                             	Malone/NNP	 
                                                                                                                                             	,/,	 
                                                                                                                                             	a/DT	 
                                                                                                                                             	young/JJ	 
                                                                                                                                             	girl/NN	 
                                                                                                                                             	who/WP	 
                                                                                                                                             	heads/VBZ	 
                                                                                                                                             	into/IN	 
                                                                                                                                             	Las/NNP	 
                                                                                                                                             	Vegas/NNP	 
The brainchild of [[ Beavis | /m/0273yz6 ]] and [[ Butthead | /m/025t53n ]] creator [[ Mike Judge | /m/01p8r8 ]] ,	The/DT	 
                                                                                                                   	brainchild/NN	 
                                                                                                                   	of/IN	 
                                                                                                                   	Beavis/NNP	 
                                                                                                                   	and/CC	 
                                                                                                                   	Butthead/NNP	 
                                                                                                                   	creator/NN	 
                                                                                                                   	Mike/NNP	 
                                                                                                                   	Judge/NNP	 
                                                                                                                   	,/,	 
The final six season after [[ Saavik | /m/02469f ]] [[ Kirstie Alley | /m/01wc7p ]] replaced [[ Shelley Long | /m/02r_km ]] were never quite the same.	The/DT	 
                                                                                                                                                       	final/JJ	 
                                                                                                                                                       	six/CD	 
                                                                                                                                                       	season/NN	 
                                                                                                                                                       	after/IN	 
                                                                                                                                                       	Saavik/NNP	 
                                                                                                                                                       	Kirstie/NNP	 
                                                                                                                                                       	Alley/NNP	 
                                                                                                                                                       	replaced/VBD	 
                                                                                                                                                       	Shelley/NNP	 
                                                                                                                                                       	Long/NNP	 
                                                                                                                                                       	were/VBD	 
                                                                                                                                                       	never/RB	 
                                                                                                                                                       	quite/RB	 
                                                                                                                                                       	the/DT	 
                                                                                                                                                       	same/JJ	 
                                                                                                                                                       	./.	 
[[ Mitchum | /m/0m0hw ]] works hard with [[ Laughton | /m/0gpmp ]] to make Preacher [[ Harry Powell | /m/0h2hdtk ]] the intense, terrifying character we know and love/hate.	Mitchum/NNP	 
                                                                                                                                                                             	works/VBZ	 
                                                                                                                                                                             	hard/JJ	 
                                                                                                                                                                             	with/IN	 
                                                                                                                                                                             	Laughton/NNP	 
                                                                                                                                                                             	to/TO	 
                                                                                                                                                                             	make/VB	 
                                                                                                                                                                             	Preacher/NNP	 
                                                                                                                                                                             	Harry/NNP	 
                                                                                                                                                                             	Powell/NNP	 
                                                                                                                                                                             	the/DT	 
                                                                                                                                                                             	intense/JJ	 
                                                                                                                                                                             	,/,	 
                                                                                                                                                                             	terrifying/VBG	 
                                                                                                                                                                             	character/NN	 
                                                                                                                                                                             	we/PRP	 
                                                                                                                                                                             	know/VBP	 
                                                                                                                                                                             	and/CC	 
                                                                                                                                                                             	love/VBP	 
                                                                                                                                                                             	hate/NN	 
                                                                                                                                                                             	./.	 
Otherwise, I uploaded several pictures of [[ Alexis | /m/0217kz ]] portraying [[ Becky | /m/0bp93q5 ]] in the movie [[ Sin City | /m/04tqtl ]] .	Otherwise/RB	 
                                                                                                                                                 	,/,	 
                                                                                                                                                 	I/PRP	 
                                                                                                                                                 	uploaded/VBD	 
                                                                                                                                                 	several/JJ	 
                                                                                                                                                 	pictures/NNS	 
                                                                                                                                                 	of/IN	 
                                                                                                                                                 	Alexis/NNP	 
                                                                                                                                                 	portraying/VBG	 
                                                                                                                                                 	Becky/NNP	 
                                                                                                                                                 	in/IN	 
                                                                                                                                                 	the/DT	 
                                                                                                                                                 	movie/NN	 
                                                                                                                                                 	Sin/NNP	 
                                                                                                                                                 	City/NNP	 
                                                                                                                                                 	./.	 
According to [[ Evan Handler | /m/07blrf ]] , who plays [[ Charlotte | /m/0fsb8 ]] ?s husband [[ Harry Goldenblatt | /m/05lmdrm ]] , there could be a death in the city	According/VBG	 
                                                                                                                                                                        	to/TO	 
                                                                                                                                                                        	Evan/NNP	 
                                                                                                                                                                        	Handler/NNP	 
                                                                                                                                                                        	,/,	 
                                                                                                                                                                        	who/WP	 
                                                                                                                                                                        	plays/VBZ	 
                                                                                                                                                                        	Charlotte/NNP	 
                                                                                                                                                                        	?/.	 
                                                                                                                                                                        	s/JJ	 
                                                                                                                                                                        	husband/NN	 
                                                                                                                                                                        	Harry/NNP	 
                                                                                                                                                                        	Goldenblatt/NNP	 
                                                                                                                                                                        	,/,	 
                                                                                                                                                                        	there/EX	 
                                                                                                                                                                        	could/MD	 
                                                                                                                                                                        	be/VB	 
                                                                                                                                                                        	a/DT	 
                                                                                                                                                                        	death/NN	 
                                                                                                                                                                        	in/IN	 
                                                                                                                                                                        	the/DT	 
                                                                                                                                                                        	city/NN	 
Maybe they were trying to make him perfect in the way [[ Sidney Poitier | /m/0cgzj ]] played [[ Virgil Tibbs | /m/0g0pzc ]] in [[ In The Heat Of The Night | /m/0p7rd ]]	Maybe/RB	In The Heat Of The Night
                                                                                                                                                                         	they/PRP	 
                                                                                                                                                                         	were/VBD	 
                                                                                                                                                                         	trying/VBG	 
                                                                                                                                                                         	to/TO	 
                                                                                                                                                                         	make/VB	 
                                                                                                                                                                         	him/PRP	 
                                                                                                                                                                         	perfect/VB	 
                                                                                                                                                                         	in/IN	 
                                                                                                                                                                         	the/DT	 
                                                                                                                                                                         	way/NN	 
                                                                                                                                                                         	Sidney/NNP	 
                                                                                                                                                                         	Poitier/NNP	 
                                                                                                                                                                         	played/VBD	 
                                                                                                                                                                         	Virgil/NNP	 
                                                                                                                                                                         	Tibbs/NNP	 
                                                                                                                                                                         	in/IN	 
                                                                                                                                                                         	In/IN	 
                                                                                                                                                                         	The/DT	 
                                                                                                                                                                         	Heat/NNP	 
                                                                                                                                                                         	Of/IN	 
                                                                                                                                                                         	The/DT	 
                                                                                                                                                                         	Night/NNP	 
It's not what I expected in my mind...but I think [[ Derek Mears | /m/05h41sp ]] will put the fear in [[ Jason Voorhees | /m/01wmhq ]] again.	It/PRP	 
                                                                                                                                              	s/VBZ	 
                                                                                                                                              	not/RB	 
                                                                                                                                              	what/WP	 
                                                                                                                                              	I/PRP	 
                                                                                                                                              	expected/VBD	 
                                                                                                                                              	in/IN	 
                                                                                                                                              	my/PRP$	 
                                                                                                                                              	mind/NN	 
                                                                                                                                              	.../:	 
                                                                                                                                              	but/CC	 
                                                                                                                                              	I/PRP	 
                                                                                                                                              	think/VBP	 
                                                                                                                                              	Derek/NNP	 
                                                                                                                                              	Mears/NNP	 
                                                                                                                                              	will/MD	 
                                                                                                                                              	put/VB	 
                                                                                                                                              	the/DT	 
                                                                                                                                              	fear/NN	 
                                                                                                                                              	in/IN	 
                                                                                                                                              	Jason/NNP	 
                                                                                                                                              	Voorhees/NNP	 
                                                                                                                                              	again/RB	 
                                                                                                                                              	./.	 
[[ James Mason | /m/0jvtp ]] stars as [[ Johnny McQueen | /m/0cblmjb ]] , an [[ IRA | /m/03t3s ]] officer wounded during a botched raid, who becomes the f..	James/NNP	 
                                                                                                                                                             	Mason/NNP	 
                                                                                                                                                             	stars/VBZ	 
                                                                                                                                                             	as/IN	 
                                                                                                                                                             	Johnny/NNP	 
                                                                                                                                                             	McQueen/NNP	 
                                                                                                                                                             	,/,	 
                                                                                                                                                             	an/DT	 
                                                                                                                                                             	IRA/NNP	 
                                                                                                                                                             	officer/NN	 
                                                                                                                                                             	wounded/VBD	 
                                                                                                                                                             	during/IN	 
                                                                                                                                                             	a/DT	 
                                                                                                                                                             	botched/JJ	 
                                                                                                                                                             	raid/NN	 
                                                                                                                                                             	,/,	 
                                                                                                                                                             	who/WP	 
                                                                                                                                                             	becomes/VBZ	 
                                                                                                                                                             	the/DT	 
                                                                                                                                                             	f../NN	 
                                                                                                                                                             	James/NNP	 
                                                                                                                                                             	Mason/NNP	 
                                                                                                                                                             	stars/VBZ	 
                                                                                                                                                             	as/IN	 
                                                                                                                                                             	Johnny/NNP	 
                                                                                                                                                             	McQueen/NNP	 
                                                                                                                                                             	,/,	 
                                                                                                                                                             	an/DT	 
                                                                                                                                                             	IRA/NNP	 
                                                                                                                                                             	officer/NN	 
                                                                                                                                                             	wounded/VBD	 
                                                                                                                                                             	during/IN	 
                                                                                                                                                             	a/DT	 
                                                                                                                                                             	botched/JJ	 
                                                                                                                                                             	raid/NN	 
                                                                                                                                                             	,/,	 
                                                                                                                                                             	who/WP	 
                                                                                                                                                             	becomes/VBZ	 
                                                                                                                                                             	the/DT	 
                                                                                                                                                             	f../NN	 
                                                                                                                                                             	James/NNP	 
                                                                                                                                                             	Mason/NNP	 
                                                                                                                                                             	stars/VBZ	 
                                                                                                                                                             	as/IN	 
                                                                                                                                                             	Johnny/NNP	 
                                                                                                                                                             	McQueen/NNP	 
                                                                                                                                                             	,/,	 
                                                                                                                                                             	an/DT	 
                                                                                                                                                             	IRA/NNP	 
                                                                                                                                                             	officer/NN	 
                                                                                                                                                             	wounded/VBD	 
                                                                                                                                                             	during/IN	 
                                                                                                                                                             	a/DT	 
                                                                                                                                                             	botched/JJ	 
                                                                                                                                                             	raid/NN	 
                                                                                                                                                             	,/,	 
                                                                                                                                                             	who/WP	 
                                                                                                                                                             	becomes/VBZ	 
                                                                                                                                                             	the/DT	 
                                                                                                                                                             	f../NN	 
[[ Amy Sedaris | /m/024rx_ ]]  plays [[ Jerri | /m/02_xmr8 ]] , who describes herself in the show's opening.	Amy/NNP	 
                                                                                                             	Sedaris/NNP	 
                                                                                                             	plays/VBZ	 
                                                                                                             	Jerri/NNP	 
                                                                                                             	,/,	 
                                                                                                             	who/WP	 
                                                                                                             	describes/VBZ	 
                                                                                                             	herself/PRP	 
                                                                                                             	in/IN	 
                                                                                                             	the/DT	 
                                                                                                             	show/NN	 
                                                                                                             	s/JJ	 
                                                                                                             	opening/NN	 
                                                                                                             	./.	 
Playing  two roles , [[ Rock Hudson | /m/015dcj ]] is wonderful as [[ Webster | /m/0h36vt2 ]] and in his shy, virgin-like disguise as  Dr	Playing/VBG	 
                                                                                                                                          	two/CD	 
                                                                                                                                          	roles/NNS	 
                                                                                                                                          	,/,	 
                                                                                                                                          	Rock/NNP	 
                                                                                                                                          	Hudson/NNP	 
                                                                                                                                          	is/VBZ	 
                                                                                                                                          	wonderful/JJ	 
                                                                                                                                          	as/IN	 
                                                                                                                                          	Webster/NNP	 
                                                                                                                                          	and/CC	 
                                                                                                                                          	in/IN	 
                                                                                                                                          	his/PRP$	 
                                                                                                                                          	shy/NN	 
                                                                                                                                          	,/,	 
                                                                                                                                          	virgin-like/JJ	 
                                                                                                                                          	disguise/NN	 
                                                                                                                                          	as/IN	 
                                                                                                                                          	Dr/NNP	 
                                                                                                                                          	Playing/VBG	 
                                                                                                                                          	two/CD	 
                                                                                                                                          	roles/NNS	 
                                                                                                                                          	,/,	 
                                                                                                                                          	Rock/NNP	 
                                                                                                                                          	Hudson/NNP	 
                                                                                                                                          	is/VBZ	 
                                                                                                                                          	wonderful/JJ	 
                                                                                                                                          	as/IN	 
