               Original Sentence             	                   List of POS      	       Misclassified Entity     
                                                                                                                                                                	color/NN	 
                                                                                                                                                                	copy/NN	 
                                                                                                                                                                	was/VBD	 
                                                                                                                                                                	restored/VBN	 
                                                                                                                                                                	and/CC	 
                                                                                                                                                                	published/VBN	 
                                                                                                                                                                	by/IN	 
                                                                                                                                                                	Tati/NNP	 
                                                                                                                                                                	?/.	 
                                                                                                                                                                	s/NN	 
                                                                                                                                                                	daughter/NN	 
                                                                                                                                                                	Sophie/NNP	 
                                                                                                                                                                	Tatischeff/NNP	 
                                                                                                                                                                	and/CC	 
                                                                                                                                                                	cinematographer/NN	 
                                                                                                                                                                	Fran/NNP	 
                                                                                                                                                                	?/.	 
                                                                                                                                                                	ois/NN	 
                                                                                                                                                                	Ede/NNP	 
[[ William Brewster | /m/03p_9k ]] ?s son [[ Love Brewster | /m/0bhc7qc ]] married Sarah Collier and their son Nathaniel married Sarah __	William/NNP	 
                                                                                                                                          	Brewster/NNP	 
                                                                                                                                          	?/.	 
                                                                                                                                          	s/JJ	 
                                                                                                                                          	son/NN	 
                                                                                                                                          	Love/NNP	 
                                                                                                                                          	Brewster/NNP	 
                                                                                                                                          	married/VBD	 
                                                                                                                                          	Sarah/NNP	 
                                                                                                                                          	Collier/NNP	 
                                                                                                                                          	and/CC	 
                                                                                                                                          	their/PRP$	 
                                                                                                                                          	son/NN	 
                                                                                                                                          	Nathaniel/NNP	 
                                                                                                                                          	married/VBD	 
                                                                                                                                          	Sarah/NNP	 
                                                                                                                                          	__/NN	 
[[ Stanley | /m/04w2bw ]] 's son, [[ Andy Stanley | /m/0gyjnk ]] , resigned the pastorate  of FBCA's northside satellite congregation  and has started a new church 	Stanley/NNP	 
                                                                                                                                                                     	s/PRP	 
                                                                                                                                                                     	son/NN	 
                                                                                                                                                                     	,/,	 
                                                                                                                                                                     	Andy/NNP	 
                                                                                                                                                                     	Stanley/NNP	 
                                                                                                                                                                     	,/,	 
                                                                                                                                                                     	resigned/VBD	 
                                                                                                                                                                     	the/DT	 
                                                                                                                                                                     	pastorate/NN	 
                                                                                                                                                                     	of/IN	 
                                                                                                                                                                     	FBCA/NNP	 
                                                                                                                                                                     	s/FW	 
                                                                                                                                                                     	northside/RB	 
                                                                                                                                                                     	satellite/JJ	 
                                                                                                                                                                     	congregation/NN	 
                                                                                                                                                                     	and/CC	 
                                                                                                                                                                     	has/VBZ	 
                                                                                                                                                                     	started/VBN	 
                                                                                                                                                                     	a/DT	 
                                                                                                                                                                     	new/JJ	 
                                                                                                                                                                     	church/NN	 
[[ Reliance | /m/0242c6 ]] group is [[ India | /m/03rk0 ]] 's largest business house, founded by [[ Anil | /m/04jr74 ]] 's late father [[ Dhirubhai Ambani | /m/034kdq ]] 	Reliance/NNP	 
                                                                                                                                                                           	group/NN	 
                                                                                                                                                                           	is/VBZ	 
                                                                                                                                                                           	India/NNP	 
                                                                                                                                                                           	s/RB	 
                                                                                                                                                                           	largest/JJS	 
                                                                                                                                                                           	business/NN	 
                                                                                                                                                                           	house/NN	 
                                                                                                                                                                           	,/,	 
                                                                                                                                                                           	founded/VBN	 
                                                                                                                                                                           	by/IN	 
                                                                                                                                                                           	Anil/NNP	 
                                                                                                                                                                           	s/NN	 
                                                                                                                                                                           	late/RB	 
                                                                                                                                                                           	father/RBR	 
                                                                                                                                                                           	Dhirubhai/NNP	 
                                                                                                                                                                           	Ambani/NNP	 
[[ Philip | /m/0f6fz ]] 's successor, [[ Philip III | /m/012rkn ]] , was one of the children of this last marriage	Philip/NNP	 
                                                                                                                   	s/NN	 
                                                                                                                   	successor/NN	 
                                                                                                                   	,/,	 
                                                                                                                   	Philip/NNP	 
                                                                                                                   	III/NNP	 
                                                                                                                   	,/,	 
                                                                                                                   	was/VBD	 
                                                                                                                   	one/CD	 
                                                                                                                   	of/IN	 
                                                                                                                   	the/DT	 
                                                                                                                   	children/NNS	 
                                                                                                                   	of/IN	 
                                                                                                                   	this/DT	 
                                                                                                                   	last/JJ	 
                                                                                                                   	marriage/NN	 
It was there in 1567 that the infant son of [[ Mary Queen of Scots | /m/055l1 ]] was crowned [[ James VI | /m/01nq16 ]] of Scotland.	It/PRP	 
                                                                                                                                     	was/VBD	 
                                                                                                                                     	there/RB	 
                                                                                                                                     	in/IN	 
                                                                                                                                     	1567/CD	 
                                                                                                                                     	that/IN	 
                                                                                                                                     	the/DT	 
                                                                                                                                     	infant/JJ	 
                                                                                                                                     	son/NN	 
                                                                                                                                     	of/IN	 
                                                                                                                                     	Mary/NNP	 
                                                                                                                                     	Queen/NNP	 
                                                                                                                                     	of/IN	 
                                                                                                                                     	Scots/NNP	 
                                                                                                                                     	was/VBD	 
                                                                                                                                     	crowned/VBN	 
                                                                                                                                     	James/NNP	 
                                                                                                                                     	VI/NNP	 
                                                                                                                                     	of/IN	 
                                                                                                                                     	Scotland/NNP	 
                                                                                                                                     	./.	 
On 21 May, Prince [[ Philip of Spain | /m/0f6fz ]]  is born to [[ Charles I | /m/01lg_s ]] and his queen, the [[ Infanta Isabella | /m/02pwv6 ]] of [[ Portugal | /m/05r4w ]] 	On/IN	 
                                                                                                                                                                               	21/CD	 
                                                                                                                                                                               	May/NNP	 
                                                                                                                                                                               	,/,	 
                                                                                                                                                                               	Prince/NNP	 
                                                                                                                                                                               	Philip/NNP	 
                                                                                                                                                                               	of/IN	 
                                                                                                                                                                               	Spain/NNP	 
                                                                                                                                                                               	is/VBZ	 
                                                                                                                                                                               	born/VBN	 
                                                                                                                                                                               	to/TO	 
                                                                                                                                                                               	Charles/NNP	 
                                                                                                                                                                               	I/PRP	 
                                                                                                                                                                               	and/CC	 
                                                                                                                                                                               	his/PRP$	 
                                                                                                                                                                               	queen/NN	 
                                                                                                                                                                               	,/,	 
                                                                                                                                                                               	the/DT	 
                                                                                                                                                                               	Infanta/NNP	 
                                                                                                                                                                               	Isabella/NNP	 
                                                                                                                                                                               	of/IN	 
                                                                                                                                                                               	Portugal/NNP	 
[[ Brutus | /m/099hy ]] was the son of [[ Marcus Junius Brutus | /m/08z_2r ]] the Elder and [[ Servilia Caepionis | /m/01syrn ]] 	Brutus/NNP	 
                                                                                                                                  	was/VBD	 
                                                                                                                                  	the/DT	 
                                                                                                                                  	son/NN	 
                                                                                                                                  	of/IN	 
                                                                                                                                  	Marcus/NNP	 
                                                                                                                                  	Junius/NNP	 
                                                                                                                                  	Brutus/NNP	 
                                                                                                                                  	the/DT	 
                                                                                                                                  	Elder/NNP	 
                                                                                                                                  	and/CC	 
                                                                                                                                  	Servilia/NNP	 
                                                                                                                                  	Caepionis/NNP	 
Distraught [[ Rachael | /m/03rk93 ]] , 26, daughter of TV legend [[ Diana Rigg | /m/01bqmx ]] and [[ Scottish | /m/06q1r ]] landowner [[ Archie Stirling | /m/027hgy7 ]] , said:  It's sad really	Distraught/NNP	 
                                                                                                                                                                                                  	Rachael/NNP	 
                                                                                                                                                                                                  	,/,	 
                                                                                                                                                                                                  	26/CD	 
                                                                                                                                                                                                  	,/,	 
                                                                                                                                                                                                  	daughter/NN	 
                                                                                                                                                                                                  	of/IN	 
                                                                                                                                                                                                  	TV/NN	 
                                                                                                                                                                                                  	legend/NN	 
                                                                                                                                                                                                  	Diana/NNP	 
                                                                                                                                                                                                  	Rigg/NNP	 
                                                                                                                                                                                                  	and/CC	 
                                                                                                                                                                                                  	Scottish/NNP	 
                                                                                                                                                                                                  	landowner/VBP	 
                                                                                                                                                                                                  	Archie/NNP	 
                                                                                                                                                                                                  	Stirling/NNP	 
                                                                                                                                                                                                  	,/,	 
                                                                                                                                                                                                  	said/VBD	 
                                                                                                                                                                                                  	:/:	 
                                                                                                                                                                                                  	It/PRP	 
                                                                                                                                                                                                  	s/VBZ	 
                                                                                                                                                                                                  	sad/JJ	 
                                                                                                                                                                                                  	really/RB	 
Perhaps most striking is the wood panelled chamber in which [[ Mary Queen of Scots | /m/055l1 ]] gave birth to [[ James VI | /m/01nq16 ]] 	Perhaps/RB	 
                                                                                                                                           	most/RBS	 
                                                                                                                                           	striking/JJ	 
                                                                                                                                           	is/VBZ	 
                                                                                                                                           	the/DT	 
                                                                                                                                           	wood/NN	 
                                                                                                                                           	panelled/VBD	 
                                                                                                                                           	chamber/NN	 
                                                                                                                                           	in/IN	 
                                                                                                                                           	which/WDT	 
                                                                                                                                           	Mary/NNP	 
                                                                                                                                           	Queen/NNP	 
                                                                                                                                           	of/IN	 
                                                                                                                                           	Scots/NNP	 
                                                                                                                                           	gave/VBD	 
                                                                                                                                           	birth/NN	 
                                                                                                                                           	to/TO	 
                                                                                                                                           	James/NNP	 
                                                                                                                                           	VI/NNP	 
A son of [[ Qualcomm | /m/01m1xf ]] co-founder [[ Younes Nazarian | /m/0hz6wyn ]] , [[ Sam | /m/02z6lj2 ]] is 31, ambitious, and on a tear.	A/DT	 
                                                                                                                                            	son/NN	 
                                                                                                                                            	of/IN	 
                                                                                                                                            	Qualcomm/NNP	 
                                                                                                                                            	co-founder/NN	 
                                                                                                                                            	Younes/NNP	 
                                                                                                                                            	Nazarian/NNP	 
                                                                                                                                            	,/,	 
                                                                                                                                            	Sam/NNP	 
                                                                                                                                            	is/VBZ	 
                                                                                                                                            	31/CD	 
                                                                                                                                            	,/,	 
                                                                                                                                            	ambitious/JJ	 
                                                                                                                                            	,/,	 
                                                                                                                                            	and/CC	 
                                                                                                                                            	on/IN	 
                                                                                                                                            	a/DT	 
                                                                                                                                            	tear/NN	 
                                                                                                                                            	./.	 
His favorite mistress was [[ Servilia | /m/01syrn ]] , sister of [[ Cato | /m/01td9k ]] and mother of [[ Brutus | /m/099hy ]] .	His/PRP$	 
                                                                                                                                	favorite/JJ	 
                                                                                                                                	mistress/NN	 
                                                                                                                                	was/VBD	 
                                                                                                                                	Servilia/NNP	 
                                                                                                                                	,/,	 
                                                                                                                                	sister/NN	 
                                                                                                                                	of/IN	 
                                                                                                                                	Cato/NNP	 
                                                                                                                                	and/CC	 
                                                                                                                                	mother/NN	 
                                                                                                                                	of/IN	 
                                                                                                                                	Brutus/NNP	 
                                                                                                                                	./.	 
One of my wife's great aunts who lived in [[ Southern California | /m/0gx1l ]] used to go out with [[ David Carradine | /m/02p5hf ]] 's father, [[ John Carradine | /m/021mlp ]] 	One/CD	 
                                                                                                                                                                                  	of/IN	 
                                                                                                                                                                                  	my/PRP$	 
                                                                                                                                                                                  	wife/NN	 
                                                                                                                                                                                  	s/RB	 
                                                                                                                                                                                  	great/JJ	 
                                                                                                                                                                                  	aunts/NNS	 
                                                                                                                                                                                  	who/WP	 
                                                                                                                                                                                  	lived/VBD	 
                                                                                                                                                                                  	in/IN	 
                                                                                                                                                                                  	Southern/NNP	 
                                                                                                                                                                                  	California/NNP	 
                                                                                                                                                                                  	used/VBD	 
                                                                                                                                                                                  	to/TO	 
                                                                                                                                                                                  	go/VB	 
                                                                                                                                                                                  	out/RP	 
                                                                                                                                                                                  	with/IN	 
                                                                                                                                                                                  	David/NNP	 
                                                                                                                                                                                  	Carradine/NNP	 
                                                                                                                                                                                  	s/NN	 
                                                                                                                                                                                  	father/NN	 
                                                                                                                                                                                  	,/,	 
                                                                                                                                                                                  	John/NNP	 
                                                                                                                                                                                  	Carradine/NNP	 
Since [[ Bentham | /m/0cgwf ]] had no sons, they chose as their successor [[ John Stuart Mill | /m/03_hd ]] , eldest son of [[ James Mill | /m/017h4t ]] 	Since/IN	 
                                                                                                                                                          	Bentham/NNP	 
                                                                                                                                                          	had/VBD	 
                                                                                                                                                          	no/DT	 
                                                                                                                                                          	sons/NNS	 
                                                                                                                                                          	,/,	 
                                                                                                                                                          	they/PRP	 
                                                                                                                                                          	chose/VBD	 
                                                                                                                                                          	as/IN	 
                                                                                                                                                          	their/PRP$	 
                                                                                                                                                          	successor/NN	 
                                                                                                                                                          	John/NNP	 
                                                                                                                                                          	Stuart/NNP	 
                                                                                                                                                          	Mill/NNP	 
                                                                                                                                                          	,/,	 
                                                                                                                                                          	eldest/JJS	 
                                                                                                                                                          	son/NN	 
                                                                                                                                                          	of/IN	 
                                                                                                                                                          	James/NNP	 
                                                                                                                                                          	Mill/NNP	 
The state legislature then elected [[ Talmadge | /m/03sqrp ]] 's son, [[ herman Talmadge | /m/03sqj7 ]] , to the office of Governor	The/DT	 
                                                                                                                                    	state/NN	 
                                                                                                                                    	legislature/NN	 
