               Original Sentence             	                   List of POS      	       Misclassified Entity     
                                                                                                                                                                 	freelance/NN	 
                                                                                                                                                                 	work/NN	 
                                                                                                                                                                 	in/IN	 
                                                                                                                                                                 	2D/CD	 
                                                                                                                                                                 	and/CC	 
                                                                                                                                                                 	3D/CD	 
                                                                                                                                                                 	animation/NN	 
                                                                                                                                                                 	and/CC	 
                                                                                                                                                                 	illustration/NN	 
[[ Belgian | /m/0154j ]] [[ Railways | /m/06d_3 ]] - [[ NMBS | /m/01vffh ]] / [[ SNCB | /m/01vffh ]] ? [[ NMBS | /m/01vffh ]] / [[ SNCB | /m/01vffh ]] is the [[ National Railway Company of Belgium | /m/01vffh ]] .	Belgian/JJ	Belgian
                                                                                                                                                                                                                      	Railways/NNP	 
                                                                                                                                                                                                                      	-/:	 
                                                                                                                                                                                                                      	NMBS/NNP	 
                                                                                                                                                                                                                      	SNCB/NNP	 
                                                                                                                                                                                                                      	?/.	 
                                                                                                                                                                                                                      	NMBS/NNP	 
                                                                                                                                                                                                                      	SNCB/NNP	 
                                                                                                                                                                                                                      	is/VBZ	 
                                                                                                                                                                                                                      	the/DT	 
                                                                                                                                                                                                                      	National/NNP	 
                                                                                                                                                                                                                      	Railway/NNP	 
                                                                                                                                                                                                                      	Company/NNP	 
                                                                                                                                                                                                                      	of/IN	 
                                                                                                                                                                                                                      	Belgium/NNP	 
                                                                                                                                                                                                                      	./.	 
[[ OMEGA | /m/03j79g ]] of [[ Manufacturer | /m/09t4t ]] prestige [[ Swiss | /m/06mzp ]]	OMEGA/NNP	 
                                                                                         	of/IN	 
                                                                                         	Manufacturer/NNP	 
                                                                                         	prestige/FW	 
                                                                                         	Swiss/NNP	 
Tuesdays at [[ Marie Callendar | /m/02nwj3 ]] s [[ Restaurant | /m/06l8d ]] , 31920 Gateway Center Blvd	Tuesdays/NNS	 
                                                                                                         	at/IN	 
                                                                                                         	Marie/NNP	 
                                                                                                         	Callendar/NNP	 
                                                                                                         	s/NNP	 
                                                                                                         	Restaurant/NNP	 
                                                                                                         	,/,	 
                                                                                                         	31920/CD	 
                                                                                                         	Gateway/NNP	 
                                                                                                         	Center/NNP	 
                                                                                                         	Blvd/NNP	 
                                                                                                         	Tuesdays/NNS	 
                                                                                                         	at/IN	 
                                                                                                         	Marie/NNP	 
                                                                                                         	Callendar/NNP	 
                                                                                                         	s/NNP	 
                                                                                                         	Restaurant/NNP	 
                                                                                                         	,/,	 
                                                                                                         	31920/CD	 
                                                                                                         	Gateway/NNP	 
                                                                                                         	Center/NNP	 
                                                                                                         	Blvd/NNP	 
[[ Jajah | /m/06ybtj ]] offers several [[ VoIP | /m/0jzgd ]] calling products	Jajah/NNP	 
                                                                              	offers/VBZ	 
                                                                              	several/JJ	 
                                                                              	VoIP/NNP	 
                                                                              	calling/VBG	 
                                                                              	products/NNS	 
While [[ Xerox | /m/0878f ]] had fantastic [[ R & D | /m/01lr_q ]] , they didn't have a marketing brain attached to these ideas.	While/IN	 
                                                                                                                                 	Xerox/NNP	 
                                                                                                                                 	had/VBD	 
                                                                                                                                 	fantastic/JJ	 
                                                                                                                                 	R/NNP	 
                                                                                                                                 	&/CC	 
                                                                                                                                 	D/NNP	 
                                                                                                                                 	,/,	 
                                                                                                                                 	they/PRP	 
                                                                                                                                 	didn/VBP	 
                                                                                                                                 	t/NNS	 
                                                                                                                                 	have/VBP	 
                                                                                                                                 	a/DT	 
                                                                                                                                 	marketing/NN	 
                                                                                                                                 	brain/NN	 
                                                                                                                                 	attached/VBD	 
                                                                                                                                 	to/TO	 
                                                                                                                                 	these/DT	 
                                                                                                                                 	ideas/NNS	 
                                                                                                                                 	./.	 
Hosted version of new-generation system, [[ aiRES | /m/0c5kfm ]] helps [[ Airline | /m/0vg8 ]] reduce costs...	Hosted/VBN	 
                                                                                                               	version/NN	 
                                                                                                               	of/IN	 
                                                                                                               	new-generation/NN	 
                                                                                                               	system/NN	 
                                                                                                               	,/,	 
                                                                                                               	aiRES/NN	 
                                                                                                               	helps/VBZ	 
                                                                                                               	Airline/NNP	 
                                                                                                               	reduce/VB	 
                                                                                                               	costs/NNS	 
                                                                                                               	.../:	 
                                                                                                               	Hosted/VBN	 
                                                                                                               	version/NN	 
                                                                                                               	of/IN	 
                                                                                                               	new-generation/NN	 
                                                                                                               	system/NN	 
                                                                                                               	,/,	 
                                                                                                               	aiRES/NN	 
                                                                                                               	helps/VBZ	 
                                                                                                               	Airline/NNP	 
                                                                                                               	reduce/VB	 
                                                                                                               	costs/NNS	 
                                                                                                               	.../:	 
... [[ NetZero | /m/02x8q9 ]] is a nationwide [[ Internet Service Provider | /m/0pjxv ]] , available in more than 8,000 ... www.netzero.net	.../:	 
                                                                                                                                            	NetZero/NN	 
                                                                                                                                            	is/VBZ	 
                                                                                                                                            	a/DT	 
                                                                                                                                            	nationwide/JJ	 
                                                                                                                                            	Internet/NNP	 
                                                                                                                                            	Service/NNP	 
                                                                                                                                            	Provider/NNP	 
                                                                                                                                            	,/,	 
                                                                                                                                            	available/JJ	 
                                                                                                                                            	in/IN	 
                                                                                                                                            	more/JJR	 
                                                                                                                                            	than/IN	 
                                                                                                                                            	8,000/CD	 
                                                                                                                                            	.../:	 
                                                                                                                                            	www.netzero.net/NN	 
[[ Fast Food | /m/01_bhs ]] is more than [[ KFC | /m/09b6t ]] and [[ McDonalds | /m/07gyp7 ]]	Fast/NNP	 
                                                                                              	Food/NNP	 
                                                                                              	is/VBZ	 
                                                                                              	more/JJR	 
                                                                                              	than/IN	 
                                                                                              	KFC/NNP	 
                                                                                              	and/CC	 
                                                                                              	McDonalds/NNP	 
                                                                                              	Fast/NNP	 
                                                                                              	Food/NNP	 
                                                                                              	is/VBZ	 
                                                                                              	more/JJR	 
                                                                                              	than/IN	 
                                                                                              	KFC/NNP	 
                                                                                              	and/CC	 
                                                                                              	McDonalds/NNP	 
In fact, just this week, [[ German | /m/0345h ]] [[ PV | /m/02_spr ]] manufacturer, [[ Solarworld AG | /m/0brsfx ]] , announced that its 2005 profits nearly tripled from 2004.	In/IN	German
                                                                                                                                                                                	fact/NN	 
                                                                                                                                                                                	,/,	 
                                                                                                                                                                                	just/RB	 
                                                                                                                                                                                	this/DT	 
                                                                                                                                                                                	week/NN	 
                                                                                                                                                                                	,/,	 
                                                                                                                                                                                	German/JJ	 
                                                                                                                                                                                	PV/NNP	 
                                                                                                                                                                                	manufacturer/NN	 
                                                                                                                                                                                	,/,	 
                                                                                                                                                                                	Solarworld/NNP	 
                                                                                                                                                                                	AG/NNP	 
                                                                                                                                                                                	,/,	 
                                                                                                                                                                                	announced/VBD	 
                                                                                                                                                                                	that/IN	 
                                                                                                                                                                                	its/PRP$	 
                                                                                                                                                                                	2005/CD	 
                                                                                                                                                                                	profits/NNS	 
                                                                                                                                                                                	nearly/RB	 
                                                                                                                                                                                	tripled/VBD	 
                                                                                                                                                                                	from/IN	 
                                                                                                                                                                                	2004/CD	 
                                                                                                                                                                                	./.	 
Gaslight Village is built on the site of the former [[ Jacobson | /m/066cvy ]] s [[ Department Store | /m/01k_mv ]] .	Gaslight/NNP	 
                                                                                                                       	Village/NNP	 
                                                                                                                       	is/VBZ	 
                                                                                                                       	built/VBN	 
                                                                                                                       	on/IN	 
                                                                                                                       	the/DT	 
                                                                                                                       	site/NN	 
                                                                                                                       	of/IN	 
                                                                                                                       	the/DT	 
                                                                                                                       	former/JJ	 
                                                                                                                       	Jacobson/NNP	 
                                                                                                                       	s/NNP	 
                                                                                                                       	Department/NNP	 
                                                                                                                       	Store/NNP	 
                                                                                                                       	./.	 
The new company was owned by [[ PE | /m/01b4x4 ]] investor [[ Veronis Suhler Stevenson | /m/04jhb2d ]] ? [[ VSS | /m/04jhb2d ]] had a stake in Hemscott since 2004.	The/DT	 
                                                                                                                                                                    	new/JJ	 
                                                                                                                                                                    	company/NN	 
                                                                                                                                                                    	was/VBD	 
                                                                                                                                                                    	owned/VBN	 
                                                                                                                                                                    	by/IN	 
                                                                                                                                                                    	PE/NNP	 
                                                                                                                                                                    	investor/NN	 
                                                                                                                                                                    	Veronis/NNP	 
                                                                                                                                                                    	Suhler/NNP	 
                                                                                                                                                                    	Stevenson/NNP	 
                                                                                                                                                                    	?/.	 
                                                                                                                                                                    	VSS/NNP	 
                                                                                                                                                                    	had/VBD	 
                                                                                                                                                                    	a/DT	 
                                                                                                                                                                    	stake/NN	 
                                                                                                                                                                    	in/IN	 
                                                                                                                                                                    	Hemscott/NNP	 
                                                                                                                                                                    	since/IN	 
                                                                                                                                                                    	2004/CD	 
                                                                                                                                                                    	./.	 
[[ BlueBean | /m/0fq2qdy ]] used [[ RFID | /m/016p89 ]] tags and readers from [[ Alien Technology | /m/01p57m ]] and [[ Impinj | /m/0ch2y4q ]] 	BlueBean/NNP	 
                                                                                                                                                	used/VBD	 
                                                                                                                                                	RFID/NNP	 
                                                                                                                                                	tags/NNS	 
                                                                                                                                                	and/CC	 
                                                                                                                                                	readers/NNS	 
                                                                                                                                                	from/IN	 
                                                                                                                                                	Alien/NNP	 
                                                                                                                                                	Technology/NNP	 
                                                                                                                                                	and/CC	 
                                                                                                                                                	Impinj/NNP	 
... [[ Random House | /m/018_d0 ]] is the [[ Publishing Company | /m/0hz28 ]] for Dr [[ Seuss | /m/02g3w ]] children's books.	.../:	Publishing Company
                                                                                                                              	Random/NNP	 
                                                                                                                              	House/NNP	 
                                                                                                                              	is/VBZ	 
                                                                                                                              	the/DT	 
                                                                                                                              	Publishing/VBG	 
                                                                                                                              	Company/NN	 
                                                                                                                              	for/IN	 
                                                                                                                              	Dr/NNP	 
                                                                                                                              	Seuss/NNP	 
                                                                                                                              	children/NNS	 
                                                                                                                              	s/VBP	 
                                                                                                                              	books/NNS	 
                                                                                                                              	./.	 
I think the main [[ VFX | /m/01vx2h ]] vendor on [[ Zodiac | /m/07vn_9 ]] was [[ Digital Domain | /m/029f_1 ]] .	I/PRP	 
                                                                                                                 	think/VBP	 
                                                                                                                 	the/DT	 
                                                                                                                 	main/JJ	 
                                                                                                                 	VFX/NNP	 
                                                                                                                 	vendor/NN	 
                                                                                                                 	on/IN	 
                                                                                                                 	Zodiac/NNP	 
                                                                                                                 	was/VBD	 
                                                                                                                 	Digital/NNP	 
                                                                                                                 	Domain/NNP	 
                                                                                                                 	./.	 
                                                                                                                 	I/PRP	 
                                                                                                                 	think/VBP	 
                                                                                                                 	the/DT	 
                                                                                                                 	main/JJ	 
                                                                                                                 	VFX/NNP	 
                                                                                                                 	vendor/NN	 
                                                                                                                 	on/IN	 
                                                                                                                 	Zodiac/NNP	 
                                                                                                                 	was/VBD	 
                                                                                                                 	Digital/NNP	 
                                                                                                                 	Domain/NNP	 
                                                                                                                 	./.	 
The [[ Software | /m/01mf0 ]] is owned by [[ Hewlett-Packard | /m/03mnk ]] and its suppliers and is protected by copyright laws and international treaties.	The/DT	 
                                                                                                                                                            	Software/NNP	 
                                                                                                                                                            	is/VBZ	 
                                                                                                                                                            	owned/VBN	 
                                                                                                                                                            	by/IN	 
                                                                                                                                                            	Hewlett-Packard/NNP	 
                                                                                                                                                            	and/CC	 
                                                                                                                                                            	its/PRP$	 
                                                                                                                                                            	suppliers/NNS	 
                                                                                                                                                            	and/CC	 
                                                                                                                                                            	is/VBZ	 
                                                                                                                                                            	protected/VBN	 
                                                                                                                                                            	by/IN	 
                                                                                                                                                            	copyright/NN	 
                                                                                                                                                            	laws/NNS	 
                                                                                                                                                            	and/CC	 
                                                                                                                                                            	international/JJ	 
                                                                                                                                                            	treaties/NNS	 
                                                                                                                                                            	./.	 
A very successful partnership between the [[ GSA | /m/03c5_q6 ]] and [[ Qatar Airways | /m/029tr_ ]] saw the [[ Airline | /m/0vg8 ]] well established in [[ Sri Lanka | /m/06m_5 ]] .	A/DT	 
                                                                                                                                                                                      	very/RB	 
                                                                                                                                                                                      	successful/JJ	 
                                                                                                                                                                                      	partnership/NN	 
                                                                                                                                                                                      	between/IN	 
                                                                                                                                                                                      	the/DT	 
                                                                                                                                                                                      	GSA/NNP	 
                                                                                                                                                                                      	and/CC	 
                                                                                                                                                                                      	Qatar/NNP	 
                                                                                                                                                                                      	Airways/NNP	 
                                                                                                                                                                                      	saw/VBD	 
                                                                                                                                                                                      	the/DT	 
                                                                                                                                                                                      	Airline/NNP	 
                                                                                                                                                                                      	well/RB	 
                                                                                                                                                                                      	established/VBD	 
                                                                                                                                                                                      	in/IN	 
                                                                                                                                                                                      	Sri/NNP	 
                                                                                                                                                                                      	Lanka/NNP	 
                                                                                                                                                                                      	./.	 
[[ Infor | /m/026c3z3 ]] says that [[ Enterprise software | /m/0727xx ]] can help organisations address both of these concerns.	Infor/NNP	 
                                                                                                                                	says/VBZ	 
                                                                                                                                	that/IN	 
                                                                                                                                	Enterprise/NNP	 
                                                                                                                                	software/NN	 
                                                                                                                                	can/MD	 
                                                                                                                                	help/VB	 
                                                                                                                                	organisations/NNS	 
                                                                                                                                	address/VB	 
                                                                                                                                	both/DT	 
                                                                                                                                	of/IN	 
                                                                                                                                	these/DT	 
                                                                                                                                	concerns/NNS	 
                                                                                                                                	./.	 
