               Original Sentence             	                   List of POS      	       Misclassified Entity     
                                                                                                          	of/IN	 
                                                                                                          	Freedom/NNP	 
[[ Barbara Jordan | /m/01z9yq ]] was buried wearing the [[ Presidential Medal of Freedom | /m/05qck ]] 	Barbara/NNP	 
                                                                                                        	Jordan/NNP	 
                                                                                                        	was/VBD	 
                                                                                                        	buried/VBN	 
                                                                                                        	wearing/VBG	 
                                                                                                        	the/DT	 
                                                                                                        	Presidential/NNP	 
                                                                                                        	Medal/NNP	 
                                                                                                        	of/IN	 
                                                                                                        	Freedom/NNP	 
On December 15, 2006, President [[ George W. Bush | /m/09b6zr ]] awarded [[ King | /m/01w60_p ]] the [[ Presidential Medal of Freedom | /m/05qck ]] 	On/IN	King
                                                                                                                                                     	December/NNP	 
                                                                                                                                                     	15/CD	 
                                                                                                                                                     	,/,	 
                                                                                                                                                     	2006/CD	 
                                                                                                                                                     	,/,	 
                                                                                                                                                     	President/NNP	 
                                                                                                                                                     	George/NNP	 
                                                                                                                                                     	W./NNP	 
                                                                                                                                                     	Bush/NNP	 
                                                                                                                                                     	awarded/VBD	 
                                                                                                                                                     	King/VBG	 
                                                                                                                                                     	the/DT	 
                                                                                                                                                     	Presidential/NNP	 
                                                                                                                                                     	Medal/NNP	 
                                                                                                                                                     	of/IN	 
                                                                                                                                                     	Freedom/NNP	 
                                                                                                                                                     	On/IN	 
                                                                                                                                                     	December/NNP	 
                                                                                                                                                     	15/CD	 
                                                                                                                                                     	,/,	 
                                                                                                                                                     	2006/CD	 
                                                                                                                                                     	,/,	 
                                                                                                                                                     	President/NNP	 
                                                                                                                                                     	George/NNP	 
                                                                                                                                                     	W./NNP	 
                                                                                                                                                     	Bush/NNP	 
                                                                                                                                                     	awarded/VBD	 
                                                                                                                                                     	King/VBG	 
                                                                                                                                                     	the/DT	 
                                                                                                                                                     	Presidential/NNP	 
                                                                                                                                                     	Medal/NNP	 
                                                                                                                                                     	of/IN	 
                                                                                                                                                     	Freedom/NNP	 
President [[ Reagan | /m/06c0j ]] awarded [[ Eric Hoffer | /m/02lzx ]] the [[ Presidential Medal of Freedom | /m/05qck ]] in 1983.	President/NNP	 
                                                                                                                                   	Reagan/NNP	 
                                                                                                                                   	awarded/VBD	 
                                                                                                                                   	Eric/NNP	 
                                                                                                                                   	Hoffer/NNP	 
                                                                                                                                   	the/DT	 
                                                                                                                                   	Presidential/NNP	 
                                                                                                                                   	Medal/NNP	 
                                                                                                                                   	of/IN	 
                                                                                                                                   	Freedom/NNP	 
                                                                                                                                   	in/IN	 
                                                                                                                                   	1983/CD	 
                                                                                                                                   	./.	 
[[ IM Pei | /m/03xds ]] is a founder of [[ Pei Cobb Freed & Partners | /m/0b5yj5 ]] and a recipient of Prizker Prize and [[ Medal of Freedom | /m/05qck ]] 	IM/NNP	 
                                                                                                                                                            	Pei/NNP	 
                                                                                                                                                            	is/VBZ	 
                                                                                                                                                            	a/DT	 
                                                                                                                                                            	founder/NN	 
                                                                                                                                                            	of/IN	 
                                                                                                                                                            	Pei/NNP	 
                                                                                                                                                            	Cobb/NNP	 
                                                                                                                                                            	Freed/NNP	 
                                                                                                                                                            	&/CC	 
                                                                                                                                                            	Partners/NNPS	 
                                                                                                                                                            	and/CC	 
                                                                                                                                                            	a/DT	 
                                                                                                                                                            	recipient/NN	 
                                                                                                                                                            	of/IN	 
                                                                                                                                                            	Prizker/NNP	 
                                                                                                                                                            	Prize/NNP	 
                                                                                                                                                            	and/CC	 
                                                                                                                                                            	Medal/NNP	 
                                                                                                                                                            	of/IN	 
                                                                                                                                                            	Freedom/NNP	 
In 1981, President [[ Jimmy Carter | /m/042kg ]] awarded [[ Roger Nash Baldwin | /m/04sgs2 ]] the [[ Medal of Freedom | /m/05qck ]] .	In/IN	 
                                                                                                                                      	1981/CD	 
                                                                                                                                      	,/,	 
                                                                                                                                      	President/NNP	 
                                                                                                                                      	Jimmy/NNP	 
                                                                                                                                      	Carter/NNP	 
                                                                                                                                      	awarded/VBD	 
                                                                                                                                      	Roger/NNP	 
                                                                                                                                      	Nash/NNP	 
                                                                                                                                      	Baldwin/NNP	 
                                                                                                                                      	the/DT	 
                                                                                                                                      	Medal/NNP	 
                                                                                                                                      	of/IN	 
                                                                                                                                      	Freedom/NNP	 
                                                                                                                                      	./.	 
In January 1998, when [[ US | /m/09c7w0 ]] President [[ Bill Clinton | /m/0157m ]] awarded the [[ Presidential Medal of Freedom | /m/05qck ]] the nation highest civilian honor to Mr. [[ James Farmer | /m/01w9r1 ]]	In/IN	 
                                                                                                                                                                                                                      	January/NNP	 
                                                                                                                                                                                                                      	1998/CD	 
                                                                                                                                                                                                                      	,/,	 
                                                                                                                                                                                                                      	when/WRB	 
                                                                                                                                                                                                                      	US/NNP	 
                                                                                                                                                                                                                      	President/NNP	 
                                                                                                                                                                                                                      	Bill/NNP	 
                                                                                                                                                                                                                      	Clinton/NNP	 
                                                                                                                                                                                                                      	awarded/VBD	 
                                                                                                                                                                                                                      	the/DT	 
                                                                                                                                                                                                                      	Presidential/NNP	 
                                                                                                                                                                                                                      	Medal/NNP	 
                                                                                                                                                                                                                      	of/IN	 
                                                                                                                                                                                                                      	Freedom/NNP	 
                                                                                                                                                                                                                      	the/DT	 
                                                                                                                                                                                                                      	nation/NN	 
                                                                                                                                                                                                                      	highest/JJS	 
                                                                                                                                                                                                                      	civilian/JJ	 
                                                                                                                                                                                                                      	honor/NN	 
                                                                                                                                                                                                                      	to/TO	 
                                                                                                                                                                                                                      	Mr./NNP	 
                                                                                                                                                                                                                      	James/NNP	 
                                                                                                                                                                                                                      	Farmer/NNP	 
In December 1992, one month before her death, [[ Hepburn | /m/0dqcm ]] received the [[ Presidential Medal of Freedom | /m/05qck ]] for her work with [[ UNICEF | /m/0fxc0 ]] 	In/IN	 
                                                                                                                                                                              	December/NNP	 
                                                                                                                                                                              	1992/CD	 
                                                                                                                                                                              	,/,	 
                                                                                                                                                                              	one/CD	 
                                                                                                                                                                              	month/NN	 
                                                                                                                                                                              	before/IN	 
                                                                                                                                                                              	her/PRP$	 
                                                                                                                                                                              	death/NN	 
                                                                                                                                                                              	,/,	 
                                                                                                                                                                              	Hepburn/NNP	 
                                                                                                                                                                              	received/VBD	 
                                                                                                                                                                              	the/DT	 
                                                                                                                                                                              	Presidential/NNP	 
                                                                                                                                                                              	Medal/NNP	 
                                                                                                                                                                              	of/IN	 
                                                                                                                                                                              	Freedom/NNP	 
                                                                                                                                                                              	for/IN	 
                                                                                                                                                                              	her/PRP$	 
                                                                                                                                                                              	work/NN	 
                                                                                                                                                                              	with/IN	 
                                                                                                                                                                              	UNICEF/NNP	 
Former President [[ Jimmy Carter | /m/042kg ]] has called Muhammad Mr. International Friendship and, in 2005, [[ Muhammad | /m/0h353 ]] was awarded the [[ Presidential Medal of Freedom | /m/05qck ]] .	Former/NNP	 
                                                                                                                                                                                                           	President/NNP	 
                                                                                                                                                                                                           	Jimmy/NNP	 
                                                                                                                                                                                                           	Carter/NNP	 
                                                                                                                                                                                                           	has/VBZ	 
                                                                                                                                                                                                           	called/VBN	 
                                                                                                                                                                                                           	Muhammad/NNP	 
                                                                                                                                                                                                           	Mr./NNP	 
                                                                                                                                                                                                           	International/NNP	 
                                                                                                                                                                                                           	Friendship/NNP	 
                                                                                                                                                                                                           	and/CC	 
                                                                                                                                                                                                           	,/,	 
                                                                                                                                                                                                           	in/IN	 
                                                                                                                                                                                                           	2005/CD	 
                                                                                                                                                                                                           	,/,	 
                                                                                                                                                                                                           	Muhammad/NNP	 
                                                                                                                                                                                                           	was/VBD	 
                                                                                                                                                                                                           	awarded/VBN	 
                                                                                                                                                                                                           	the/DT	 
                                                                                                                                                                                                           	Presidential/NNP	 
                                                                                                                                                                                                           	Medal/NNP	 
                                                                                                                                                                                                           	of/IN	 
                                                                                                                                                                                                           	Freedom/NNP	 
                                                                                                                                                                                                           	./.	 
In addition to being a [[ Nobel | /m/059x1 ]] laureate, [[ Becker | /m/0d71m ]] is a recipient of the 2007 [[ Presidential Medal of Freedom | /m/05qck ]] 	In/IN	 
                                                                                                                                                           	addition/NN	 
                                                                                                                                                           	to/TO	 
                                                                                                                                                           	being/VBG	 
                                                                                                                                                           	a/DT	 
                                                                                                                                                           	Nobel/NNP	 
                                                                                                                                                           	laureate/NN	 
                                                                                                                                                           	,/,	 
                                                                                                                                                           	Becker/NNP	 
                                                                                                                                                           	is/VBZ	 
                                                                                                                                                           	a/DT	 
                                                                                                                                                           	recipient/NN	 
                                                                                                                                                           	of/IN	 
                                                                                                                                                           	the/DT	 
                                                                                                                                                           	2007/CD	 
                                                                                                                                                           	Presidential/NNP	 
                                                                                                                                                           	Medal/NNP	 
                                                                                                                                                           	of/IN	 
                                                                                                                                                           	Freedom/NNP	 
In 1985, he was posthumously given the [[ Medal of Freedom | /m/05qck ]] by [[ United States | /m/09c7w0 ]] president [[ Ronald Reagan | /m/06c0j ]] .	In/IN	 
                                                                                                                                                       	1985/CD	 
                                                                                                                                                       	,/,	 
                                                                                                                                                       	he/PRP	 
                                                                                                                                                       	was/VBD	 
                                                                                                                                                       	posthumously/RB	 
                                                                                                                                                       	given/VBN	 
                                                                                                                                                       	the/DT	 
                                                                                                                                                       	Medal/NNP	 
                                                                                                                                                       	of/IN	 
                                                                                                                                                       	Freedom/NNP	 
                                                                                                                                                       	by/IN	 
                                                                                                                                                       	United/NNP	 
                                                                                                                                                       	States/NNPS	 
                                                                                                                                                       	president/NN	 
                                                                                                                                                       	Ronald/NNP	 
                                                                                                                                                       	Reagan/NNP	 
                                                                                                                                                       	./.	 
                                                                                                                                                       	In/IN	 
                                                                                                                                                       	1985/CD	 
                                                                                                                                                       	,/,	 
                                                                                                                                                       	he/PRP	 
                                                                                                                                                       	was/VBD	 
                                                                                                                                                       	posthumously/RB	 
                                                                                                                                                       	given/VBN	 
                                                                                                                                                       	the/DT	 
                                                                                                                                                       	Medal/NNP	 
                                                                                                                                                       	of/IN	 
                                                                                                                                                       	Freedom/NNP	 
                                                                                                                                                       	by/IN	 
                                                                                                                                                       	United/NNP	 
                                                                                                                                                       	States/NNPS	 
                                                                                                                                                       	president/NN	 
                                                                                                                                                       	Ronald/NNP	 
                                                                                                                                                       	Reagan/NNP	 
                                                                                                                                                       	./.	 
President [[ Bush | /m/09b6zr ]] is awarding [[ Harper Lee | /m/01bq7x ]] , author of [[ To Kill A Mockingbird | /m/0jqbz ]] , the [[ Presidential Medal of Freedom | /m/05qck ]] 	President/NNP	To Kill A Mockingbird
                                                                                                                                                                                   	Bush/NNP	 
                                                                                                                                                                                   	is/VBZ	 
                                                                                                                                                                                   	awarding/VBG	 
                                                                                                                                                                                   	Harper/NNP	 
                                                                                                                                                                                   	Lee/NNP	 
                                                                                                                                                                                   	,/,	 
                                                                                                                                                                                   	author/NN	 
                                                                                                                                                                                   	of/IN	 
                                                                                                                                                                                   	To/TO	 
                                                                                                                                                                                   	Kill/VB	 
                                                                                                                                                                                   	A/NNP	 
                                                                                                                                                                                   	Mockingbird/NNP	 
                                                                                                                                                                                   	,/,	 
                                                                                                                                                                                   	the/DT	 
                                                                                                                                                                                   	Presidential/NNP	 
                                                                                                                                                                                   	Medal/NNP	 
                                                                                                                                                                                   	of/IN	 
                                                                                                                                                                                   	Freedom/NNP	 
[[ Clinton | /m/0157m ]] awarded [[ Jesse Jackson | /m/040cf ]] the [[ Medal of Freedom | /m/05qck ]] , the nation's highest honor bestowed on civilians	Clinton/NNP	 
                                                                                                                                                         	awarded/VBD	 
                                                                                                                                                         	Jesse/NNP	 
                                                                                                                                                         	Jackson/NNP	 
                                                                                                                                                         	the/DT	 
                                                                                                                                                         	Medal/NNP	 
                                                                                                                                                         	of/IN	 
                                                                                                                                                         	Freedom/NNP	 
                                                                                                                                                         	,/,	 
                                                                                                                                                         	the/DT	 
                                                                                                                                                         	nation/NN	 
                                                                                                                                                         	s/NN	 
                                                                                                                                                         	highest/JJS	 
                                                                                                                                                         	honor/NN	 
                                                                                                                                                         	bestowed/VBN	 
                                                                                                                                                         	on/IN	 
